EN.ATM.CO2E.SF.ZS;CO2 emissions from solid fuel consumption (% of total)
EN.ATM.GHGO.KT.CE;Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)
EN.ATM.GHGT.KT.CE;Total greenhouse gas emissions (kt of CO2 equivalent)
EN.ATM.METH.AG.KT.CE;Agricultural methane emissions (thousand metric tons of CO2 equivalent)
EN.ATM.METH.AG.ZS;Agricultural methane emissions (% of total)
EN.ATM.METH.EG.KT.CE;Methane emissions in energy sector (thousand metric tons of CO2 equivalent)
EN.ATM.METH.EG.ZS;Energy related methane emissions (% of total)
EN.ATM.METH.KT.CE;Methane emissions (kt of CO2 equivalent)
EN.ATM.NOXE.AG.KT.CE;Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
EN.ATM.NOXE.AG.ZS;Agricultural nitrous oxide emissions (% of total)
EN.ATM.NOXE.EG.KT.CE;Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)
EN.ATM.NOXE.EG.ZS;Nitrous oxide emissions in energy sector (% of total)
EN.ATM.NOXE.KT.CE;Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
EN.CO2.BLDG.ZS;CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)
EN.CO2.ETOT.ZS;CO2 emissions from electricity and heat production, total (% of total fuel combustion)
EN.CO2.MANF.ZS;CO2 emissions from manufacturing industries and construction (% of total fuel combustion)
EN.CO2.OTHX.ZS;CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)
EN.CO2.TRAN.ZS;CO2 emissions from transport (% of total fuel combustion)
EN.POP.DNST;Population density (people per sq. km of land area)
EN.URB.LCTY;Population in largest city
EN.URB.LCTY.UR.ZS;Population in the largest city (% of urban population)
EN.URB.MCTY.TL.ZS;Population in urban agglomerations of more than 1 million (% of total population)
ER.FSH.AQUA.MT;Aquaculture production (metric tons)
ER.FSH.CAPT.MT;Capture fisheries production (metric tons)
ER.FSH.PROD.MT;Total fisheries production (metric tons)
NY.GDP.COAL.RT.ZS;Coal rents (% of GDP)
NY.GDP.FRST.RT.ZS;Forest rents (% of GDP)
NY.GDP.MINR.RT.ZS;Mineral rents (% of GDP)
NY.GDP.NGAS.RT.ZS;Natural gas rents (% of GDP)
NY.GDP.PETR.RT.ZS;Oil rents (% of GDP)
NY.GDP.TOTL.RT.ZS;Total natural resources rents (% of GDP)
SP.RUR.TOTL;Rural population
SP.RUR.TOTL.ZG;Rural population growth (annual %)
SP.RUR.TOTL.ZS;Rural population (% of total population)
SP.URB.GROW;Urban population growth (annual %)
SP.URB.TOTL;Urban population
SP.URB.TOTL.IN.ZS;Urban population (% of total)
SH.DTH.IMRT;Number of infant deaths
SH.DTH.MORT;Number of under-five deaths
SH.DYN.MORT;Mortality rate, under-5 (per 1,000 live births)
SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births)
SH.H2O.SAFE.RU.ZS;Improved water source, rural (% of rural population with access)
SH.H2O.SAFE.UR.ZS;Improved water source, urban (% of urban population with access)
SH.H2O.SAFE.ZS;Improved water source (% of population with access)
SH.IMM.IDPT;Immunization, DPT (% of children ages 12-23 months)
SH.IMM.MEAS;Immunization, measles (% of children ages 12-23 months)
SH.MMR.DTHS;Number of maternal deaths
SH.MMR.RISK;Lifetime risk of maternal death (1 in: rate varies by country)
SH.MMR.RISK.ZS;Lifetime risk of maternal death (%)
SH.STA.ACSN;Improved sanitation facilities (% of population with access)
SH.STA.ACSN.RU;Improved sanitation facilities, rural (% of rural population with access)
SH.STA.ACSN.UR;Improved sanitation facilities, urban (% of urban population with access)
SH.STA.MMRT;Maternal mortality ratio (modeled estimate, per 100,000 live births)
SH.STA.ODFC.UR.ZS;People practicing open defecation, urban (% of urban population)
SP.ADO.TFRT;Adolescent fertility rate (births per 1,000 women ages 15-19)
SP.DYN.AMRT.FE;Mortality rate, adult, female (per 1,000 female adults)
SP.DYN.AMRT.MA;Mortality rate, adult, male (per 1,000 male adults)
SP.DYN.CBRT.IN;Birth rate, crude (per 1,000 people)
SP.DYN.CDRT.IN;Death rate, crude (per 1,000 people)
SP.DYN.IMRT.IN;Mortality rate, infant (per 1,000 live births)
SP.DYN.LE00.FE.IN;Life expectancy at birth, female (years)
SP.DYN.LE00.IN;Life expectancy at birth, total (years)
SP.DYN.LE00.MA.IN;Life expectancy at birth, male (years)
SP.DYN.TFRT.IN;Fertility rate, total (births per woman)
SP.DYN.TO65.FE.ZS;Survival to age 65, female (% of cohort)
SP.DYN.TO65.MA.ZS;Survival to age 65, male (% of cohort)
SP.POP.0004.FE.5Y;Population ages 0-4, female (% of female population)
SP.POP.0004.MA.5Y;Population ages 0-4, male (% of male population)
SP.POP.0014.TO.ZS;Population ages 0-14 (% of total)
SP.POP.0509.FE.5Y;Population ages 5-9, female (% of female population)
SP.POP.0509.MA.5Y;Population ages 5-9, male (% of male population)
SP.POP.1014.FE.5Y;Population ages 10-14, female (% of female population)
SP.POP.1014.MA.5Y;Population ages 10-14, male (% of male population)
SP.POP.1519.FE.5Y;Population ages 15-19, female (% of female population)
SP.POP.1519.MA.5Y;Population ages 15-19, male (% of male population)
SP.POP.1564.TO.ZS;Population ages 15-64 (% of total)
SP.POP.2024.FE.5Y;Population ages 20-24, female (% of female population)
SP.POP.2024.MA.5Y;Population ages 20-24, male (% of male population)
SP.POP.2529.FE.5Y;Population ages 25-29, female (% of female population)
SP.POP.2529.MA.5Y;Population ages 25-29, male (% of male population)
SP.POP.3034.FE.5Y;Population ages 30-34, female (% of female population)
SP.POP.3034.MA.5Y;Population ages 30-34, male (% of male population)
SP.POP.3539.FE.5Y;Population ages 35-39, female (% of female population)
SP.POP.3539.MA.5Y;Population ages 35-39, male (% of male population)
SP.POP.4044.FE.5Y;Population ages 40-44, female (% of female population)
SP.POP.4044.MA.5Y;Population ages 40-44, male (% of male population)
SP.POP.4549.FE.5Y;Population ages 45-49, female (% of female population)
SP.POP.4549.MA.5Y;Population ages 45-49, male (% of male population)
SP.POP.5054.FE.5Y;Population ages 50-54, female (% of female population)
SP.POP.5054.MA.5Y;Population ages 50-54, male (% of male population)
SP.POP.5559.FE.5Y;Population ages 55-59, female (% of female population)
SP.POP.5559.MA.5Y;Population ages 55-59, male (% of male population)
SP.POP.6064.FE.5Y;Population ages 60-64, female (% of female population)
SP.POP.6064.MA.5Y;Population ages 60-64, male (% of male population)
SP.POP.6569.FE.5Y;Population ages 65-69, female (% of female population)
SP.POP.6569.MA.5Y;Population ages 65-69, male (% of male population)
SP.POP.65UP.TO.ZS;Population ages 65 and above (% of total)
SP.POP.7074.FE.5Y;Population ages 70-74, female (% of female population)
SP.POP.7074.MA.5Y;Population ages 70-74, male (% of male population)
SP.POP.7579.FE.5Y;Population ages 75-79, female (% of female population)
SP.POP.7579.MA.5Y;Population ages 75-79, male (% of male population)
SP.POP.80UP.FE.5Y;Population ages 80 and above, female (% of female population)
SP.POP.80UP.MA.5Y;Population ages 80 and above, male (% of male population)
SP.POP.DPND;Age dependency ratio (% of working-age population)
SP.POP.DPND.OL;Age dependency ratio, old (% of working-age population)
SP.POP.DPND.YG;Age dependency ratio, young (% of working-age population)
SP.POP.GROW;Population growth (annual %)
SP.POP.TOTL;Population, total
SP.POP.TOTL.FE.ZS;Population, female (% of total)
IP.JRN.ARTC.SC;Scientific and technical journal articles
IP.TMK.NRES;Trademark applications, direct nonresident
IP.TMK.TOTL;Trademark applications, total
IS.AIR.DPRT;Air transport, registered carrier departures worldwide
IS.AIR.GOOD.MT.K1;Air transport, freight (million ton-km)
IS.AIR.PSGR;Air transport, passengers carried
IT.CEL.SETS;Mobile cellular subscriptions
IT.CEL.SETS.P2;Mobile cellular subscriptions (per 100 people)
IT.MLT.MAIN;Fixed telephone subscriptions
IT.MLT.MAIN.P2;Fixed telephone subscriptions (per 100 people)
DC.DAC.AUTL.CD;Net bilateral aid flows from DAC donors, Austria (current US$)
DC.DAC.BELL.CD;Net bilateral aid flows from DAC donors, Belgium (current US$)
DC.DAC.CANL.CD;Net bilateral aid flows from DAC donors, Canada (current US$)
DC.DAC.CECL.CD;Net bilateral aid flows from DAC donors, European Union institutions (current US$)
DC.DAC.CHEL.CD;Net bilateral aid flows from DAC donors, Switzerland (current US$)
DC.DAC.DEUL.CD;Net bilateral aid flows from DAC donors, Germany (current US$)
DC.DAC.FRAL.CD;Net bilateral aid flows from DAC donors, France (current US$)
DC.DAC.GBRL.CD;Net bilateral aid flows from DAC donors, United Kingdom (current US$)
DC.DAC.ITAL.CD;Net bilateral aid flows from DAC donors, Italy (current US$)
DC.DAC.JPNL.CD;Net bilateral aid flows from DAC donors, Japan (current US$)
DC.DAC.NLDL.CD;Net bilateral aid flows from DAC donors, Netherlands (current US$)
DC.DAC.NORL.CD;Net bilateral aid flows from DAC donors, Norway (current US$)
DC.DAC.TOTL.CD;Net bilateral aid flows from DAC donors, Total (current US$)
DC.DAC.USAL.CD;Net bilateral aid flows from DAC donors, United States (current US$)
DT.NFL.UNCF.CD;Net official flows from UN agencies, UNICEF (current US$)
DT.NFL.UNDP.CD;Net official flows from UN agencies, UNDP (current US$)
DT.NFL.UNFP.CD;Net official flows from UN agencies, UNFPA (current US$)
DT.NFL.UNTA.CD;Net official flows from UN agencies, UNTA (current US$)
DT.ODA.ALLD.CD;Net official development assistance and official aid received (current US$)
DT.ODA.ALLD.KD;Net official development assistance and official aid received (constant 2013 US$)
DT.ODA.ODAT.CD;Net official development assistance received (current US$)
DT.ODA.ODAT.GI.ZS;Net ODA received (% of gross capital formation)
DT.ODA.ODAT.GN.ZS;Net ODA received (% of GNI)
DT.ODA.ODAT.KD;Net official development assistance received (constant 2014 US$)
DT.ODA.ODAT.MP.ZS;Net ODA received (% of imports of goods, services and primary income)
DT.ODA.ODAT.PC.ZS;Net ODA received per capita (current US$)
NE.CON.GOVT.CD;General government final consumption expenditure (current US$)
NE.CON.GOVT.CN;General government final consumption expenditure (current LCU)
NE.CON.GOVT.KD;General government final consumption expenditure (constant 2010 US$)
NE.CON.GOVT.KD.ZG;General government final consumption expenditure (annual % growth)
NE.CON.GOVT.ZS;General government final consumption expenditure (% of GDP)
NE.CON.PETC.CD;Household final consumption expenditure, etc. (current US$)
NE.CON.PETC.CN;Household final consumption expenditure, etc. (current LCU)
NE.CON.PETC.KD;Household final consumption expenditure, etc. (constant 2010 US$)
NE.CON.PETC.KD.ZG;Household final consumption expenditure, etc. (annual % growth)
NE.CON.PETC.ZS;Household final consumption expenditure, etc. (% of GDP)
NE.CON.PRVT.CD;Household final consumption expenditure (current US$)
NE.CON.PRVT.CN;Household final consumption expenditure (current LCU)
NE.CON.PRVT.KD;Household final consumption expenditure (constant 2010 US$)
NE.CON.PRVT.KD.ZG;Household final consumption expenditure (annual % growth)
NE.CON.PRVT.PC.KD;Household final consumption expenditure per capita (constant 2010 US$)
NE.CON.PRVT.PC.KD.ZG;Household final consumption expenditure per capita growth (annual %)
NE.CON.TETC.CD;Final consumption expenditure, etc. (current US$)
NE.CON.TETC.CN;Final consumption expenditure, etc. (current LCU)
NE.CON.TETC.KD;Final consumption expenditure, etc. (constant 2010 US$)
NE.CON.TETC.KD.ZG;Final consumption expenditure, etc. (annual % growth)
NE.CON.TETC.ZS;Final consumption expenditure, etc. (% of GDP)
NE.CON.TOTL.CD;Final consumption expenditure (current US$)
NE.CON.TOTL.CN;Final consumption expenditure (current LCU)
NE.CON.TOTL.KD;Final consumption expenditure (constant 2010 US$)
NE.DAB.TOTL.CD;Gross national expenditure (current US$)
NE.DAB.TOTL.CN;Gross national expenditure (current LCU)
NE.DAB.TOTL.KD;Gross national expenditure (constant 2010 US$)
NE.DAB.TOTL.ZS;Gross national expenditure (% of GDP)
NE.EXP.GNFS.CD;Exports of goods and services (current US$)
NE.EXP.GNFS.CN;Exports of goods and services (current LCU)
NE.EXP.GNFS.KD;Exports of goods and services (constant 2010 US$)
NE.EXP.GNFS.KD.ZG;Exports of goods and services (annual % growth)
NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP)
NE.GDI.FTOT.CD;Gross fixed capital formation (current US$)
NE.GDI.FTOT.CN;Gross fixed capital formation (current LCU)
NE.GDI.FTOT.KD;Gross fixed capital formation (constant 2010 US$)
NE.GDI.FTOT.KD.ZG;Gross fixed capital formation (annual % growth)
NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP)
NE.GDI.STKB.CD;Changes in inventories (current US$)
NE.GDI.STKB.CN;Changes in inventories (current LCU)
NE.GDI.TOTL.CD;Gross capital formation (current US$)
NE.GDI.TOTL.CN;Gross capital formation (current LCU)
NE.GDI.TOTL.KD;Gross capital formation (constant 2010 US$)
NE.GDI.TOTL.KD.ZG;Gross capital formation (annual % growth)
NE.GDI.TOTL.ZS;Gross capital formation (% of GDP)
NE.IMP.GNFS.CD;Imports of goods and services (current US$)
NE.IMP.GNFS.CN;Imports of goods and services (current LCU)
NE.IMP.GNFS.KD;Imports of goods and services (constant 2010 US$)
NE.IMP.GNFS.KD.ZG;Imports of goods and services (annual % growth)
NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP)
NE.RSB.GNFS.CD;External balance on goods and services (current US$)
NE.RSB.GNFS.CN;External balance on goods and services (current LCU)
NE.RSB.GNFS.ZS;External balance on goods and services (% of GDP)
NE.TRD.GNFS.ZS;Trade (% of GDP)
NV.AGR.TOTL.CD;Agriculture, value added (current US$)
NV.AGR.TOTL.CN;Agriculture, value added (current LCU)
NV.AGR.TOTL.KD;Agriculture, value added (constant 2010 US$)
NV.AGR.TOTL.KD.ZG;Agriculture, value added (annual % growth)
NV.AGR.TOTL.KN;Agriculture, value added (constant LCU)
NV.AGR.TOTL.ZS;Agriculture, value added (% of GDP)
NV.IND.MANF.CD;Manufacturing, value added (current US$)
NV.IND.MANF.CN;Manufacturing, value added (current LCU)
NV.IND.MANF.KD;Manufacturing, value added (constant 2010 US$)
NV.IND.MANF.KD.ZG;Manufacturing, value added (annual % growth)
NV.IND.MANF.ZS;Manufacturing, value added (% of GDP)
NV.IND.TOTL.CD;Industry, value added (current US$)
NV.IND.TOTL.CN;Industry, value added (current LCU)
NV.IND.TOTL.KD;Industry, value added (constant 2010 US$)
NV.IND.TOTL.KD.ZG;Industry, value added (annual % growth)
NV.IND.TOTL.KN;Industry, value added (constant LCU)
NV.IND.TOTL.ZS;Industry, value added (% of GDP)
NV.SRV.TETC.CD;Services, etc., value added (current US$)
NV.SRV.TETC.CN;Services, etc., value added (current LCU)
NV.SRV.TETC.KD;Services, etc., value added (constant 2010 US$)
NV.SRV.TETC.KD.ZG;Services, etc., value added (annual % growth)
NV.SRV.TETC.KN;Services, etc., value added (constant LCU)
NV.SRV.TETC.ZS;Services, etc., value added (% of GDP)
NY.ADJ.AEDU.CD;Adjusted savings: education expenditure (current US$)
NY.ADJ.AEDU.GN.ZS;Adjusted savings: education expenditure (% of GNI)
NY.ADJ.DCO2.CD;Adjusted savings: carbon dioxide damage (current US$)
NY.ADJ.DCO2.GN.ZS;Adjusted savings: carbon dioxide damage (% of GNI)
NY.ADJ.DFOR.CD;Adjusted savings: net forest depletion (current US$)
NY.ADJ.DFOR.GN.ZS;Adjusted savings: net forest depletion (% of GNI)
NY.ADJ.DKAP.CD;Adjusted savings: consumption of fixed capital (current US$)
NY.ADJ.DKAP.GN.ZS;Adjusted savings: consumption of fixed capital (% of GNI)
NY.ADJ.DMIN.CD;Adjusted savings: mineral depletion (current US$)
NY.ADJ.DMIN.GN.ZS;Adjusted savings: mineral depletion (% of GNI)
NY.ADJ.DNGY.CD;Adjusted savings: energy depletion (current US$)
NY.ADJ.DNGY.GN.ZS;Adjusted savings: energy depletion (% of GNI)
NY.ADJ.DRES.GN.ZS;Adjusted savings: natural resources depletion (% of GNI)
NY.ADJ.ICTR.GN.ZS;Adjusted savings: gross savings (% of GNI)
NY.ADJ.NNAT.GN.ZS;Adjusted savings: net national savings (% of GNI)
NY.ADJ.NNTY.CD;Adjusted net national income (current US$)
NY.ADJ.NNTY.PC.CD;Adjusted net national income per capita (current US$)
NY.ADJ.SVNX.GN.ZS;Adjusted net savings, excluding particulate emission damage (% of GNI)
NY.GDP.DISC.CN;Discrepancy in expenditure estimate of GDP (current LCU)
NY.GDP.FCST.CD;Gross value added at factor cost (current US$)
NY.GDP.FCST.CN;Gross value added at factor cost (current LCU)
NY.GDP.FCST.KD;Gross value added at factor cost (constant 2010 US$)
NY.GDP.MKTP.CD;GDP (current US$)
NY.GDP.MKTP.CN;GDP (current LCU)
NY.GDP.MKTP.KD;GDP (constant 2010 US$)
NY.GDP.MKTP.KD.ZG;GDP growth (annual %)
NY.GDP.MKTP.KN;GDP (constant LCU)
NY.GDP.MKTP.PP.CD;GDP, PPP (current international $)
NY.GDP.MKTP.PP.KD;GDP, PPP (constant 2011 international $)
NY.GDP.PCAP.CD;GDP per capita (current US$)
NY.GDP.PCAP.CN;GDP per capita (current LCU)
NY.GDP.PCAP.KD;GDP per capita (constant 2010 US$)
NY.GDP.PCAP.KD.ZG;GDP per capita growth (annual %)
NY.GDP.PCAP.KN;GDP per capita (constant LCU)
NY.GDP.PCAP.PP.CD;GDP per capita, PPP (current international $)
NY.GDP.PCAP.PP.KD;GDP per capita, PPP (constant 2011 international $)
NY.GDS.TOTL.CD;Gross domestic savings (current US$)
NY.GDS.TOTL.CN;Gross domestic savings (current LCU)
NY.GDS.TOTL.ZS;Gross domestic savings (% of GDP)
NY.GNP.ATLS.CD;GNI, Atlas method (current US$)
NY.GNP.MKTP.CD;GNI (current US$)
NY.GNP.MKTP.CN;GNI (current LCU)
NY.GNP.MKTP.KD;GNI (constant 2010 US$)
NY.GNP.MKTP.KD.ZG;GNI growth (annual %)
NY.GNP.PCAP.CD;GNI per capita, Atlas method (current US$)
NY.GNP.PCAP.CN;GNI per capita (current LCU)
NY.GNP.PCAP.KD;GNI per capita (constant 2010 US$)
NY.GNP.PCAP.KD.ZG;GNI per capita growth (annual %)
NY.GNS.ICTR.GN.ZS;Gross savings (% of GNI)
NY.GNS.ICTR.ZS;Gross savings (% of GDP)
NY.GSR.NFCY.CD;Net income from abroad (current US$)
NY.GSR.NFCY.CN;Net income from abroad (current LCU)
MS.MIL.MPRT.KD;Arms imports (SIPRI trend indicator values)
SL.TLF.ACTI.1524.FE.ZS;Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)
SL.TLF.ACTI.1524.MA.ZS;Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)
SL.TLF.ACTI.1524.ZS;Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)
SL.TLF.CACT.FE.ZS;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)
SL.TLF.CACT.FM.ZS;Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
SL.TLF.CACT.MA.ZS;Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)
SL.TLF.CACT.ZS;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)
SL.TLF.TOTL.FE.ZS;Labor force, female (% of total labor force)
SL.TLF.TOTL.IN;Labor force, total
